dist_name,reg_name,area_km2,pop2022,density,exposure_index
Nachingwea,Lindi,5576.9,233655,41.9,2.89
Liwale,Lindi,34380.2,136505,4.0,0.0
Ruangwa,Lindi,2566.5,185573,72.3,3.56
Kilwa,Lindi,15371.6,297676,19.4,1.94
Lindi,Lindi,6971.1,174126,25.0,2.25
Kalambo,Rukwa,5641.3,316783,56.2,3.25
Sumbawanga,Rukwa,6109.2,798316,130.7,4.28
Iringa,Iringa,20188.1,517844,25.7,2.29
Nkasi,Rukwa,9585.3,425420,44.4,2.96
Mufindi,Iringa,8255.3,411325,49.8,3.1
Kilolo,Iringa,9255.2,263559,28.5,2.41
