adm2_code,adm1_name,adm2_name,population,density,coping:accessHealth,coping:communication,coping:drrImplementation,coping:economicCapacity,coping:education,coping:governance,coping:wash,hazard:coastalHazards,hazard:conflictIntensity,hazard:conflictRisk,hazard:drought,hazard:earthquake,hazard:environmentalDegradation,hazard:exposure,hazard:flood,hazard:hazardousMaterial,hazard:heatwave,hazard:internalViolence,hazard:landslide,hazard:lightning,hazard:stormsCyclone,hazard:vehicleAccidents,hazard:volcano,hazard:wildfire,hazard:zoonoses,vulnerability:childrenHealthNutrition,vulnerability:developmentPoverty,vulnerability:displacedPeople,vulnerability:economicDependency,vulnerability:habitat,vulnerability:healthConditions,vulnerability:livelihoods,hazard_total,vulnerability_total,coping_total,risk
TZ0304,Kilimanjaro,Moshi,757536,528,4.02,4.45,6.5,6.666666667,4.2,4.6,2.7,0,0,0.7,5.1,10,3.65,5.99,6,,5.2,6.4,7,6,0,4,5,3.9,5,2.75,2.7,0,2.333333333,5.5,1.4,0,3.8,2,5,3.4
TZ0305,Kilimanjaro,Hai,240999,268,4.02,4.45,4.5,6.666666667,4.2,4.6,6.2,0,0,0.7,4.9,10,3.85,5.16,5,,1.4,6.4,7,6,0,4,5,3.9,5,2.75,2.7,0,2.333333333,5.5,1.4,0,3.6,2,4.9,3.3
TZ0306,Kilimanjaro,Moshi Urban,,,4.02,4.45,6.5,6.666666667,4.2,4.6,7,0,0,0.7,0.7,10,2.35,,0,,,6.4,0,,0,,0,3.9,,2.75,2.7,0,2.333333333,5.5,1.4,0,2.1,2,5.4,2.8
TZ0307,Kilimanjaro,Siha,139019,117,4.02,4.45,6.5,6.666666667,4.2,4.6,7.4,0,0,0.7,5.7,10,5,4.14,2.3,,2.2,6.4,5,6,0,4,5,3.9,5,2.75,2.7,0,2.333333333,5.5,1.4,0,3.5,2,5.4,3.4
TZ0401,Tanga,Lushoto,350958,81,5.36,5.35,6.5,7.7,5.5,4.5,2.1,0,0,0.7,10,10,5.25,3.7,2.7,,4.6,7,8,3,0,3,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,3.5,3.7,5.4,4.1
TZ0402,Tanga,Korogwe,359421,105,5.36,5.35,6.5,7.7,5.5,4.5,4.1,0,0,0.7,7.3,7.9,5,4.01,8,,4.5,7,8,3,0,3,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,3.5,3.7,5.6,4.2
TZ0403,Tanga,Muheza,238260,155,5.36,5.35,6.5,7.7,5.5,4.5,4.4,7,0,0.7,7,0.6,6.65,4.49,5.2,,5.7,7,8,3,3,3,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,3.7,3.7,5.6,4.2
TZ0404,Tanga,Tanga Urban,,,5.36,5.35,6.5,7.7,5.5,4.5,7,7,0,0.7,4.3,0,6.4,,6.3,,,7,2.6,,0,,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,3,3.7,5.9,4
TZ0405,Tanga,Pangani,75642,42,5.36,5.35,6.5,7.7,5.5,4.5,7.6,7,0,0.7,7,0,6.1,2.89,9.8,,6.1,7,4.2,3,6,3,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,3.8,3.7,5.9,4.4
TZ0406,Tanga,Handeni,493321,66,5.36,5.35,3.8,7.7,5.5,4.5,2.9,0,0,0.7,5.4,0,6.3,3.45,3.8,,4.8,7,1.8,3,0,3,0,3.4,,3.975,4.9,0,2.566666667,5.9,3.6,5.7,2.7,3.7,4.8,3.6
