adm2_code,adm2_name,drought,flood,earthquake,landslide,wildfire,stormsCyclone,coastalHazards,heatwave,lightning,environmentalDegradation,volcano,zoonoses,h_conflictIntensity,h_conflictRisk,h_hazardousMaterial,h_internalViolence,h_vehicleAccidents
TZ0905,Mtwara Urban,0,5.4,10,4.2,5.5,0,7,,,5.1,0,,0,0.7,,9.1,
TZ0906,Nanyumbu,0,4.6,0,0,5.5,0,0,,,4,0,,0,0.7,,9.1,
TZ0907,Masasi  Township Authority,0,0,0,0,5.5,0,0,,,4.15,0,,0,0.7,,9.1,
TZ1001,Tunduru,0,4.2,0,0,7.5,0,0,,,4.1,0,,0,0.7,,5.3,
TZ1002,Songea,0,3.8,0,5.9,7.5,0,0,,,4.45,0,,0,0.7,,5.3,
TZ1003,Mbinga,0,1.2,9.4,7.8,7.5,0,0,,,4.25,0,,0,0.7,,5.3,
TZ1004,Songea Urban,0,0,0,3.6,7.5,0,0,,,3.7,0,,0,0.7,,5.3,
TZ1005,Namtumbo,0,1.9,0,2.9,7.5,0,0,,,3.7,0,,0,0.7,,5.3,
TZ1006,Nyasa,0,4,9.9,6.6,7.5,0,0,,,4.55,0,,0,0.7,,5.3,
TZ1101,Iringa,0,6.7,2.4,5.1,6,0,0,,,4.2,0,,0,0.7,,2.2,
TZ1102,Mufindi,0,3.6,0,5.3,6,0,0,,,6.2,0,,0,0.7,,2.2,
TZ1103,Iringa Urban,0,6.7,0,8.1,6,0,0,,,1.9,0,,0,0.7,,2.2,
TZ1104,Kilolo,0,4.2,0,7.5,6,0,0,,,5.4,0,,0,0.7,,2.2,
TZ1105,Mafinga Township Authority,0,0,0,0.1,6,0,0,,,6.9,0,,0,0.7,,2.2,
TZ1201,Chunya,0,2.8,6,4.1,6.6,0,0,,,5.6,5,,0,0.7,,6.05,
TZ1202,Mbeya,0,0,10,8.5,6.6,0,0,,,5.2,5,,0,0.7,,6.05,
TZ1203,Kyela,0,10,10,5,6.6,0,0,,,4.75,5,,0,0.7,,6.05,
TZ1204,Rungwe,0,3.1,10,8.5,6.6,0,0,,,5.5,5,,0,0.7,,6.05,
TZ1207,Mbarali,0,8.4,6,3.8,6.6,0,0,,,3.8,5,,0,0.7,,6.05,
TZ1208,Mbeya Urban,0,0,10,6.1,6.6,0,0,,,5.25,5,,0,0.7,,6.05,
TZ1301,Iramba,7,6.2,10,0,7.65,0,0,,,2.7,0,,0,0.7,,0,
TZ1302,Singida,7,4,10,1.1,7.65,0,0,,,3.3,0,,0,0.7,,0,
TZ1303,Manyoni,7,7.4,9.2,0.2,7.65,0,0,,,3.6,0,,0,0.7,,0,
TZ1304,Singida Urban,7,5.7,10,0,7.65,0,0,,,3.3,0,,0,0.7,,0,
TZ1305,Ikungi,7,6.1,10,0,7.65,0,0,,,4.35,0,,0,0.7,,0,
TZ1306,Mkalama,7,5.4,10,0.3,7.65,0,0,,,2.55,0,,0,0.7,,0,
TZ1401,Nzega,6.5,4.9,8.4,0,7.15,0,0,,,3.55,0,,0,0.7,,4.9,
