dist_name,reg_name,heavy_days_yr,vheavy_days_yr,heavy_rain_index
Kati,Kusini Unguja,3.1,0.1,1.38
Kibaha,Pwani,4.1,0.3,1.96
Ngorongoro,Arusha,0.0,0.0,0.0
Kisarawe,Pwani,2.5,0.3,1.29
Arusha,Arusha,3.6,0.5,1.92
Longido,Arusha,0.3,0.0,0.12
Bagamoyo,Pwani,2.6,0.2,1.25
Karatu,Arusha,0.0,0.0,0.0
Mafia,Pwani,2.1,0.0,0.88
Mlele,Katavi,0.1,0.0,0.04
Monduli,Arusha,0.4,0.0,0.17
Kibiti,Pwani,4.0,0.6,2.17
Tanganyika,Katavi,0.3,0.0,0.12
Arumeru,Arusha,2.6,0.2,1.25
Mkuranga,Pwani,5.1,0.9,2.88
Mpanda,Katavi,0.2,0.0,0.08
Rufiji,Pwani,1.4,0.0,0.58
Nachingwea,Lindi,0.4,0.0,0.17
Liwale,Lindi,0.4,0.0,0.17
Ruangwa,Lindi,1.2,0.0,0.5
Kilwa,Lindi,1.4,0.0,0.58
Lindi,Lindi,1.6,0.0,0.67
Kalambo,Rukwa,0.3,0.0,0.12
Sumbawanga,Rukwa,0.4,0.0,0.17
Iringa,Iringa,0.0,0.0,0.0
Nkasi,Rukwa,0.1,0.0,0.04
Mufindi,Iringa,0.9,0.1,0.46
Kilolo,Iringa,1.3,0.1,0.62
