adm1_code,adm1_name,adm2_code,adm2_name,dimension,category,indicator_key,indicator,value,authority,dataset,method
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:drought,Drought,7,TMA / MoA,CHIRPS v3 1991-2024 + ERA5 t2m,"aridity+variability+SPEI+growing-season, min-max"
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:earthquake,Earthquake,8.7,INFORM SADC,INFORM seismic,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:environmentalDegradation,Environmental Degradation,4.35,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:flood,Flood,4.3,PMO-DMD / TMA / MoW,CHIRPS v3 daily + recorded floods,"max(hazard, sqrt(hazard×exposure))"
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:landslide,Landslide,7.1,TMA / PMO-DMD,documented rainfall-triggered events,documented overlay
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:stormsCyclone,Storms Cyclone,0,TMA / PMO-DMD,Cyclone Hidaya 2024 + Lindi 1952 + Zanzibar 1872,documented cyclone/storm exposure overlay
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:volcano,Volcano,0,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Natural hazards,hazard:wildfire,Wildfire,4.75,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Human hazards,hazard:conflictIntensity,Conflict Intensity,0,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Human hazards,hazard:conflictRisk,Conflict Risk,0.7,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0102,Mpwapwa,Hazard & Exposure,Human hazards,hazard:internalViolence,Internal Violence,1.35,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
