region,council,pop2022,source
Mwanza,Buchosa,413110,NBS 2022 PHC
Mwanza,Ilemela Municipal,509687,NBS 2022 PHC
Mwanza,Kwimba,480025,NBS 2022 PHC
Mwanza,Magu,421119,NBS 2022 PHC
Mwanza,Misungwi,467867,NBS 2022 PHC
Mwanza,Mwanza,594834,NBS 2022 PHC
Mwanza,Sengerema,425415,NBS 2022 PHC
Mwanza,Ukerewe,387815,NBS 2022 PHC
Njombe,Ludewa,151361,NBS 2022 PHC
Njombe,Makambako Town,146481,NBS 2022 PHC
Njombe,Makete,109160,NBS 2022 PHC
Njombe,Njombe Rural,109311,NBS 2022 PHC
Njombe,Njombe Town,182127,NBS 2022 PHC
Njombe,Wanging'ombe,191506,NBS 2022 PHC
Pwani,Bagamoyo,205478,NBS 2022 PHC
Pwani,Chalinze,316759,NBS 2022 PHC
Pwani,Kibaha,123367,NBS 2022 PHC
Pwani,Kibaha Town,265360,NBS 2022 PHC
Pwani,Kibiti,195638,NBS 2022 PHC
Pwani,Kisarawe,159226,NBS 2022 PHC
Pwani,Mafia,66180,NBS 2022 PHC
Pwani,Mkuranga,533033,NBS 2022 PHC
Pwani,Rufiji,159906,NBS 2022 PHC
Rukwa,Kalambo,316783,NBS 2022 PHC
Rukwa,Nkasi,425420,NBS 2022 PHC
Rukwa,Sumbawanga Municipal,303986,NBS 2022 PHC
Rukwa,Sumbawanga Rural,494330,NBS 2022 PHC
Ruvuma,Madaba,65215,NBS 2022 PHC
Ruvuma,Mbinga Rural,285582,NBS 2022 PHC
Ruvuma,Mbinga Town,158896,NBS 2022 PHC
Ruvuma,Namtumbo,271368,NBS 2022 PHC
Ruvuma,Nyasa,191193,NBS 2022 PHC
Ruvuma,Songea Municipal,286285,NBS 2022 PHC
Ruvuma,Songea Rural,178201,NBS 2022 PHC
Ruvuma,Tunduru,412054,NBS 2022 PHC
Shinyanga,Kahama Municipality,453654,NBS 2022 PHC
Shinyanga,Kishapu,335483,NBS 2022 PHC
Shinyanga,Msalala,378214,NBS 2022 PHC
Shinyanga,Shinyanga Municipal,214744,NBS 2022 PHC
Shinyanga,Shinyanga Rural,468611,NBS 2022 PHC
Shinyanga,Ushetu,390593,NBS 2022 PHC
Simiyu,Bariadi Rural,383385,NBS 2022 PHC
Simiyu,Bariadi Town,260927,NBS 2022 PHC
Simiyu,Busega,282167,NBS 2022 PHC
Simiyu,Itilima,419213,NBS 2022 PHC
Simiyu,Maswa,427864,NBS 2022 PHC
Simiyu,Meatu,366941,NBS 2022 PHC
Singida,Ikungi,411262,NBS 2022 PHC
Singida,Iramba,328912,NBS 2022 PHC
Singida,Itigi,215947,NBS 2022 PHC
Singida,Manyoni,279069,NBS 2022 PHC
Singida,Mkalama,255514,NBS 2022 PHC
Singida,Singida Municipal,232459,NBS 2022 PHC
Singida,Singida Rural,284895,NBS 2022 PHC
Songwe,Ileje,125869,NBS 2022 PHC
Songwe,Mbozi,510599,NBS 2022 PHC
Songwe,Momba,259781,NBS 2022 PHC
Songwe,Songwe,229129,NBS 2022 PHC
Songwe,Tunduma Town,219309,NBS 2022 PHC
Tabora,Igunga,546204,NBS 2022 PHC
Tabora,Kaliua,678447,NBS 2022 PHC
Tabora,Nzega Rural,574498,NBS 2022 PHC
Tabora,Nzega Town,125193,NBS 2022 PHC
Tabora,Sikonge,335686,NBS 2022 PHC
Tabora,Tabora Municipal,308741,NBS 2022 PHC
Tabora,Urambo,260322,NBS 2022 PHC
Tabora,Uyui,562588,NBS 2022 PHC
Tanga,Bumbuli,159373,NBS 2022 PHC
Tanga,Handeni Rural,384353,NBS 2022 PHC
Tanga,Handeni Town,108968,NBS 2022 PHC
Tanga,Kilindi,398391,NBS 2022 PHC
Tanga,Korogwe Rural,272870,NBS 2022 PHC
Tanga,Korogwe Town,86551,NBS 2022 PHC
Tanga,Lushoto,350958,NBS 2022 PHC
Tanga,Mkinga,146802,NBS 2022 PHC
Tanga,Muheza,238260,NBS 2022 PHC
Tanga,Pangani,75642,NBS 2022 PHC
Tanga,Tanga City,393429,NBS 2022 PHC
