"level","unit","how_it_is_built","Hazard&Exposure","Vulnerability","LackOfCoping","risk_cbrt"
"council (195)","Kibiti","Hazard computed on Kibiti polygon (raise-only vs district); Vuln & Coping = Rufiji district","4.1","3.8","5.6","4.4"
"district (170)","Rufiji","indicator->category mean, category->dimension sgm, risk cbrt","4","3.8","5.6","4.4"
"region (31)","Pwani (7 districts)","mean of district indicators, then re-run sgm + cbrt","3.36","3.8","5.83","4.21"
"national","Tanzania","official INFORM country value (not a unit mean)","2.2","5.5","5.9","4.1"
